Symbol,Trade Type,Entry DateTime,Exit DateTime,Entry Price,Exit Price,Trade Quantity,Max Open Quantity,Max Closed Quantity,Profit/Loss (C),Cumulative Profit/Loss (C),FlatToFlat Profit/Loss (C),FlatToFlat Max Open Profit (C),FlatToFlat Max Open Loss (C),Max Open Profit (C),Max Open Loss (C),Entry Efficiency,Exit Efficiency,Total Efficiency,Commission (C),High Price While Open,Low Price While Open,Note,Open Position Quantity,Close Position Quantity,Duration
[Sim]F.US.MESH23 (Sim1),Long,2023-01-10  15:36:53.001 BP,2023-01-10  15:36:59.290 EP,3924.00,3921.50,1,1,1,-13.50,-13.50,-13.50 F,0.00,-12.50,0.00,-12.50,100.0%,-8.0%,-108.0%,1.00,3924.00,3921.50,,1,0,00:00:06
[Sim]F.US.MESH23,Long,2023-01-10  15:37:26.571 BP,2023-01-10  15:39:15.051 EP,3921.75,3919.25,1,1,1,-13.50,-27.00,-13.50 F,16.25,-13.75,16.25,-13.75,100.0%,0.8%,-45.0%,1.00,3925.00,3919.00,,1,0,00:01:48
[Sim]F.US.MESH23,Short,2023-01-10  15:40:53.237 BP,2023-01-10  15:42:27.799 EP,3921.75,3916.75,1,1,1,24.00,-3.00,24.00 F,35.00,0.00,35.00,0.00,100.0%,68.6%,68.6%,1.00,3921.75,3914.75,,1,0,00:01:34
[Sim]F.US.MESH23,Short,2023-01-10  15:50:47.381 BP,2023-01-10  15:52:42.708 EP,3912.25,3906.50,1,1,1,27.75,24.75,27.75 F,35.00,-6.25,35.00,-6.25,100.0%,82.4%,67.3%,1.00,3913.50,3905.25,,1,0,00:01:55
[Sim]F.US.MESH23,Short,2023-01-10  16:08:29.416 BP,2023-01-10  16:10:37.698 EP,3920.75,3919.00,1,1,1,7.75,32.50,7.75 F,15.00,-10.00,15.00,-10.00,100.0%,71.0%,31.0%,1.00,3922.75,3917.75,,1,0,00:02:08
[Sim]F.US.MESH23,Long,2023-01-11  15:45:40.580 BP,2023-01-11  15:47:10.912 EP,3963.50,3962.50,1,1,1,-6.00,26.50,-6.00 F,6.25,-8.75,6.25,-8.75,100.0%,18.3%,-40.0%,1.00,3964.75,3961.75,,1,0,00:01:30
[Sim]F.US.MESH23,Short,2023-01-11  15:54:53.783 BP,2023-01-11  15:55:26.540 EP,3957.25,3959.25,1,1,1,-11.00,15.50,-11.00 F,0.00,-10.00,0.00,-10.00,100.0%,-10.0%,-110.0%,1.00,3959.25,3957.25,,1,0,00:00:32
[Sim]F.US.MESH23,Short,2023-01-11  15:55:53.982 BP,2023-01-11  15:56:31.739 EP,3957.25,3959.75,1,1,1,-13.50,2.00,-13.50 F,0.00,-12.50,0.00,-12.50,100.0%,-8.0%,-108.0%,1.00,3959.75,3957.25,,1,0,00:00:37
[Sim]F.US.MESH23,Short,2023-01-11  15:57:21.956 BP,2023-01-11  15:58:52.127 EP,3959.25,3956.00,1,1,1,15.25,17.25,15.25 F,21.25,-3.75,21.25,-3.75,100.0%,76.0%,61.0%,1.00,3960.00,3955.00,,1,0,00:01:30
[Sim]F.US.MESH23,Short,2023-01-11  16:06:15.647 BP,2023-01-11  16:08:06.263 EP,3960.25,3962.75,1,1,1,-13.50,3.75,-13.50 F,10.00,-12.50,10.00,-12.50,100.0%,-4.4%,-60.0%,1.00,3962.75,3958.25,,1,0,00:01:50
[Sim]F.US.MESH23,Short,2023-01-11  16:08:49.751 BP,2023-01-11  16:16:44.944 EP,3962.50,3957.25,1,1,1,25.25,29.00,25.25 F,30.00,-8.75,30.00,-8.75,100.0%,87.7%,65.2%,1.00,3964.25,3956.50,,1,0,00:07:55
[Sim]F.US.MESH23,Short,2023-01-11  16:23:44.730 BP,2023-01-11  16:27:09.372 EP,3961.75,3964.25,1,1,1,-13.50,15.50,-13.50 F,7.50,-12.50,7.50,-12.50,100.0%,-5.0%,-67.5%,1.00,3964.25,3960.25,,1,0,00:03:24
[Sim]F.US.MESH23,Short,2023-01-11  16:36:18.415 BP,2023-01-11  16:36:38.425 EP,3952.75,3955.25,1,1,1,-13.50,2.00,-13.50 F,0.00,-12.50,0.00,-12.50,100.0%,-8.0%,-108.0%,1.00,3955.25,3952.75,,1,0,00:00:20
[Sim]F.US.MESH23,Short,2023-01-11  16:36:52.871 BP,2023-01-11  16:37:45.234 EP,3954.00,3956.50,1,1,1,-13.50,-11.50,-13.50 F,0.00,-13.75,0.00,-13.75,100.0%,1.8%,-98.2%,1.00,3956.75,3954.00,,1,0,00:00:52
[Sim]F.US.MESH23,Long,2023-01-11  16:38:02.074 BP,2023-01-11  16:38:31.718 EP,3956.75,3954.25,1,1,1,-13.50,-25.00,-13.50 F,1.25,-12.50,1.25,-12.50,100.0%,-7.3%,-98.2%,1.00,3957.00,3954.25,,1,0,00:00:29
[Sim]F.US.MESH23,Short,2023-01-11  16:39:08.940 BP,2023-01-11  16:40:20.473 EP,3955.00,3957.50,1,1,1,-13.50,-38.50,-13.50 F,1.25,-12.50,1.25,-12.50,100.0%,-7.3%,-98.2%,1.00,3957.50,3954.75,,1,0,00:01:11
[Sim]F.US.MESH23,Long,2023-01-11  16:40:28.298 BP,2023-01-11  16:44:16.740 EP,3958.00,3955.75,1,1,1,-12.25,-50.75,-12.25 F,1.25,-11.25,1.25,-11.25,100.0%,-8.0%,-98.0%,1.00,3958.25,3955.75,,1,0,00:03:48
[Sim]F.US.MESH23,Long,2023-01-11  16:44:52.876 BP,2023-01-11  16:51:27.714 EP,3958.00,3955.50,1,1,1,-13.50,-64.25,-13.50 F,12.50,-12.50,12.50,-12.50,100.0%,-4.0%,-54.0%,1.00,3960.50,3955.50,,1,0,00:06:34
[Sim]F.US.MESH23,Short,2023-01-11  16:53:19.475 BP,2023-01-11  16:55:10.359 EP,3956.25,3953.75,1,1,1,11.50,-52.75,11.50 F,25.00,-1.25,25.00,-1.25,100.0%,48.6%,43.8%,1.00,3956.50,3951.25,,1,0,00:01:50
[Sim]F.US.MESH23,Long,2023-01-11  16:55:31.596 BP,2023-01-11  16:56:21.091 EP,3952.50,3950.00,1,1,1,-13.50,-66.25,-13.50 F,3.75,-12.50,3.75,-12.50,100.0%,-6.2%,-83.1%,1.00,3953.25,3950.00,,1,0,00:00:49
[Sim]F.US.MESH23,Short,2023-01-11  16:57:06.710 BP,2023-01-11  17:02:42.933 EP,3950.75,3953.25,1,1,1,-13.50,-79.75,-13.50 F,6.25,-12.50,6.25,-12.50,100.0%,-5.3%,-72.0%,1.00,3953.25,3949.50,,1,0,00:05:36
[Sim]F.US.MESH23,Short,2023-01-12  15:33:44.233 BP,2023-01-12  15:34:04.446 EP,3986.75,3989.25,1,1,1,-13.50,-93.25,-13.50 F,3.75,-12.50,3.75,-12.50,100.0%,-6.2%,-83.1%,1.00,3989.25,3986.00,,1,0,00:00:20
[Sim]F.US.MESH23,Short,2023-01-12  15:34:19.616 BP,2023-01-12  15:46:33.498 EP,3985.75,3967.50,1,1,1,90.25,-3.00,90.25 F,116.25,-10.00,116.25,-10.00,100.0%,79.4%,71.5%,1.00,3987.75,3962.50,,1,0,00:12:13
[Sim]F.US.MESH23,Short,2023-01-12  15:49:41.424 BP,2023-01-12  15:50:26.844 EP,3961.00,3963.50,1,1,1,-13.50,-16.50,-13.50 F,6.25,-12.50,6.25,-12.50,100.0%,-5.3%,-72.0%,1.00,3963.50,3959.75,,1,0,00:00:45
[Sim]F.US.MESH23,Short,2023-01-12  15:50:42.254 BP,2023-01-12  15:51:10.262 EP,3960.00,3962.50,1,1,1,-13.50,-30.00,-13.50 F,3.75,-12.50,3.75,-12.50,100.0%,-6.2%,-83.1%,1.00,3962.50,3959.25,,1,0,00:00:28
[Sim]F.US.MESH23,Short,2023-01-12  15:52:05.706 BP,2023-01-12  15:52:17.070 EP,3961.50,3964.00,1,1,1,-13.50,-43.50,-13.50 F,0.00,-12.50,0.00,-12.50,100.0%,-8.0%,-108.0%,1.00,3964.00,3961.50,,1,0,00:00:11
[Sim]F.US.MESH23,Short,2023-01-12  15:52:34.011 BP,2023-01-12  15:56:14.778 EP,3962.00,3964.50,1,1,1,-13.50,-57.00,-13.50 F,23.75,-12.50,23.75,-12.50,100.0%,-2.8%,-37.2%,1.00,3964.50,3957.25,,1,0,00:03:40
[Sim]F.US.MESH23,Short,2023-01-12  15:56:50.672 BP,2023-01-12  15:57:16.089 EP,3963.25,3965.50,1,1,1,-12.25,-69.25,-12.25 F,3.75,-11.25,3.75,-11.25,100.0%,-6.7%,-81.7%,1.00,3965.50,3962.50,,1,0,00:00:25
[Sim]F.US.MESH23,Long,2023-01-12  15:57:22.104 BP,2023-01-12  16:03:19.428 EP,3965.00,3977.25,1,1,1,60.25,-9.00,60.25 F,77.50,0.00,77.50,0.00,100.0%,77.7%,77.7%,1.00,3980.50,3965.00,,1,0,00:05:57
[Sim]F.US.MESH23,Short,2023-01-12  16:13:04.271 BP,2023-01-12  16:15:43.230 EP,3998.25,4000.75,1,1,1,-13.50,-22.50,-13.50 F,22.50,-12.50,22.50,-12.50,100.0%,-2.9%,-38.6%,1.00,4000.75,3993.75,,1,0,00:02:38
